Date,Close,High,Low,Open,Volume,Gamma
2009-12-14,0.45334573888979895,0.4547793420683838,0.4978576756200258,0.44879618204791866,0.09514533244476342,1
2009-12-15,0.449461108290489,0.4508825985514251,0.5044239042624252,0.45184466225818,0.04890552109499154,1
2009-12-16,0.4506874865914627,0.45949614845915077,0.5053615896986761,0.46708644904998814,0.08960885835853796,-1
2009-12-17,0.4465989524040921,0.4455502734582356,0.49222958174108017,0.439447863255758,0.023376223919618598,1
2009-12-18,0.4502788833611772,0.4494468125860724,0.49035334049544804,0.4571285209999787,0.04008817347618804,-1
2009-12-21,0.4545722309127961,0.4519078610480147,0.49992113339953603,0.45082834439075054,0.014353821705028963,1
2009-12-22,0.4431866093682042,0.449749153818,0.5003541435354891,0.4574281121642219,0.10642333521300046,-1
2009-12-23,0.4474946270608492,0.44666218527434204,0.49583625310872176,0.4543692223989053,0.005639001384118522,1
2009-12-24,0.44934101783371716,0.4524244592059812,0.5061897486153897,0.4600790832235819,0.04013943712513457,-1
2009-12-28,0.4563161581425281,0.45674617887577657,0.5080722730288207,0.45681648781642975,0.010611575331932127,1
2009-12-29,0.46144536256656504,0.46868256408322306,0.5129671430949116,0.47618930589320074,0.002819500692059261,-1
2009-12-30,0.47334330182683626,0.4732093309594556,0.5139077466566303,0.4749651732906022,0.010611575331932127,1
2009-12-31,0.46226575324379277,0.4717692470866348,0.5176730612356579,0.4792479127155186,0.006510483416209566,1
2010-01-04,0.4891396320512559,0.49008425550567297,0.5223787970652902,0.4825102063190753,0.03337263546419234,1
2010-01-05,0.4938580725265616,0.49522901776994355,0.5427091607787111,0.4986198507438515,0.049008048392884605,1
2010-01-06,0.512526452453419,0.5112807523453688,0.5528743405954352,0.5069804988326087,0.04706002973291639,1
2010-01-07,0.5400163634619554,0.5370048092615485,0.5624749678673173,0.5161570160394291,0.3212180242989696,1
2010-01-08,0.556427929833284,0.5549084143483952,0.5865700534029811,0.546336884443969,0.15855846619162353,1
2010-01-11,0.5605312478837042,0.5703431277574909,0.6053948368994759,0.5769251745493303,0.17157943302404266,-1
2010-01-12,0.557249116564676,0.5598480259608475,0.5925944708056536,0.5561256646543214,0.12267391192905111,1
2010-01-13,0.5570435071462635,0.5619054878405737,0.5961706432859787,0.5618348978587667,0.10380888911672732,1
2010-01-14,0.5646341110460306,0.5621114077748629,0.6050183133305713,0.5673408982271428,0.11252370943763777,1
2010-01-15,0.5699683562783626,0.5697260350141814,0.605018641627986,0.5687686874939486,0.1277490131747578,1
2010-01-19,0.5783788959672636,0.5855714744846774,0.6121714945897935,0.578556313774782,0.06556620700261445,-1
2010-01-20,0.5693524377993128,0.5691082611688184,0.6055829692900906,0.5738662603583412,0.08448249346388476,-1
